id,text,Fuente,es_gracioso_p1,es_gracioso_p2,es_gracioso_p3,Es_gracioso,nivel_gracia_p1,nivel_gracia_p2,nivel_gracia_p3
1,"Mi abuelo vino a América buscando la libertad, pero no le sirvio de mucho, en el siguiente barco venia mi abuela",Dataset_existente,1,1,1,1,3,4,3
2,"BARRA LIBRE en mi casa hoy a partir de las 10 pm. Todos están cordialmente invitados, solo traiga una escoba y barra libre por toda la casa!",Dataset_existente,1,1,1,1,2,3,3
3,Va un pollito con un cubito Maggi bajo el brazo y le pregunta otro pollito: -¿Qué es eso? -Son las cenizas de Mamá...,Dataset_existente,1,1,1,1,4,2,3
4,"-¿Ya fuiste al Laberinto? -No, está bueno? -Si, no sabés lo que te perdés.",Dataset_existente,1,1,1,1,2,2,3
5,"En la calle me siento un objeto sexual

Me gritan ""forrooo!!""",Dataset_existente,1,0,1,1,4,0,5
6,"Iba caminando por la calle cuando de repente vi a una mujer en moto, le grité: ¡VAAACA!! me dijo: ¡TU MADRE! Y pues nada, chocó con la vaca.",Dataset_existente,1,0,1,1,3,0,2
7,"¿Cree usted que algunas encuestas están manipuladas?

No ❑",Dataset_existente,1,1,1,1,2,3,2
8,"- A mí antes me perseguían las mujeres. 
- ¿Y por qué ya no? 
- Es que ya no robo bolsos.
#Chistes #Humor #Anecdo...",Dataset_existente,1,1,0,1,2,2,0
9,Odio que cuando netflix pasa de capítulo a capítulo pone una pantalla negra donde uno se ve el reflejo todo gordo y triste.,Dataset_existente,1,1,1,1,2,3,1
10,"En un segundo pueden pasar muchas cosas.
Lo sé porque vivo en un tercero..",Dataset_existente,1,0,1,1,2,0,2
11,"- ¡Soldado López!
- ¡Sí, mi capitán! 

- No lo vi ayer en la prueba de camuflaje. 

- ¡Gracias, mi capitán!
#Chis...",Dataset_existente,1,1,1,1,2,3,2
12,-¡Que fortuna hizo Henry Ford con los autos! -¡JA! ¿Y su hermano Roque con los quesos?,Dataset_existente,1,1,0,1,1,4,0
13,"—Jamás pensé que nuestro hijo llegaría tan lejos.
—JAJAJAJÁ esta catapulta está de puta madre, trae al gato JAJAJAJAJAJAJÁ.",Dataset_existente,0,1,1,1,0,3,4
14,"Hoy vi cómo se volteaba un camión lleno de palmeras. El chofer salió y gritó “ayúdenme con las palmas”. Todos aplaudimos, fue hermoso.",Dataset_existente,0,1,1,1,0,2,2
15,"No sé si elegir esgrima o albañilería.

Estoy entre la espada y la pared.",Dataset_existente,1,1,1,1,2,2,4
16,"Trabajo en una fábrica de colchas
Estoy tapado de laburo",Dataset_existente,1,1,1,1,4,2,2
17,Volcó un camion que llevaba mermeladas en la autopista. Hay Demoras.. #chistes,Dataset_existente,0,1,1,1,0,1,4
18,"—Amigos los veo en el antro.
—Yo llego en 15 min.
—Yo ya voy saliendo.
—¡Pero ponte tu suéter!
—¿QUIÉN METIÓ A MI MAMÁ AL GRUPO DE WHATSAPP?",Dataset_existente,1,1,1,1,1,1,2
19,"–Me encanta bañarme con música.

–Yo prefiero con agua.",Dataset_existente,1,1,1,1,2,2,5
20,"-Como pudiste cogerte a mi hermana?
-Y bueno...estaba ahí...desnuda...que querías que hiciera?
-La autopsia, hijo de puta!",Dataset_existente,1,1,0,1,3,3,0
21,Auto RT @amattajm: Cayó un avión en un cementerio gallego. Hasta el momento encontraron 5000 muertos,Dataset_existente,1,1,1,1,4,3,1
22,Cuándo un niño es complejo?... Cuando tiene madre real y padre imaginario.,Dataset_existente,1,1,0,1,2,1,0
23,"—¿Pepito, quien fue Juana de Arco? —Una drogadicta maestra. —¿De donde sacas eso? —El libro dice que murió por heroína.",Dataset_existente,1,0,1,1,3,0,4
24,"Tips para que tu cita salga bien:

—Ponerla entre comillas.
—Pon el nombre del autor al final.

¿Qué esperaban? ¿Consejos de amor?",Dataset_existente,0,1,1,1,0,3,1
25,"—Detenga el vehículo y sople aquí.
—Sr. Agente. ¿Eso es un pastel de cumpleaños?
—Es que nadie se acordó. :(",Dataset_existente,1,1,1,1,5,3,2
26,"Salir a buscar al de la pizza porque no encuentra mi pinche domicilio, es lo más cerca que he estado de salir a cazar mi propio alimento.",Dataset_existente,1,1,0,1,3,2,0
27,"-Amor, ¿estoy gorda? -No, para nada mi buda... digo mi vida.",Dataset_existente,1,1,1,1,5,3,4
28,"1°acto: Batman es obrero
2°acto: Batman es obrero
3°acto: Batman es jefe

¿Cómo se llamó la obra?
 
El caballero de la noche asciende JAJAJÁ",Dataset_existente,1,1,0,1,1,4,0
29,"Aló, ¿hablo con la Secretaría de Cultura y Educación? - Sí, ¿qué putas quiere?",Dataset_existente,1,1,1,1,2,3,1
30,"*TOC TOC* —Somos los Testigos de Jehová. —Pasen —Qué amable, gracias. *Minuto de silencio* —¿Y que iban a decirnos? —No sé, nunca nos abren.",Dataset_existente,1,1,1,1,2,2,3
31,"—¡Soldado! No lo vi en el entrenamiento de camuflaje.
—¡Gracias, señor!",Dataset_existente,1,1,1,1,4,3,3
32,Me compré un consolador x internet y me mandaron uno equivocado... me lo voy a tener que meter en el culo,Dataset_existente,1,1,1,1,3,2,3
33,"soy modelo de body painting,,,
 no se... me pintó",Dataset_existente,1,1,1,1,2,4,4
34,"—Amor, siento que no me pones atención.

—Y yo a ti, mi amor.",Dataset_existente,0,1,1,1,0,4,1
35,"- Hola venimos por el censo.
- Ok pase
- Cómo se conforma su familia?
- No se conforman con nada.",Dataset_existente,1,1,0,1,2,2,0
36,"— Se me perdió las llaves de mi auto.
— ¿Sabes inglés?
— ¿Qué tiene que ver?
— Ni idea, pero dicen que el inglés abre muchas puertas.",Dataset_existente,0,1,1,1,0,3,4
