id,text,Fuente,filename
1,"Mi abuelo vino a América buscando la libertad, pero no le sirvio de mucho, en el siguiente barco venia mi abuela",Dataset_existente,
2,"BARRA LIBRE en mi casa hoy a partir de las 10 pm. Todos están cordialmente invitados, solo traiga una escoba y barra libre por toda la casa!",Dataset_existente,
3,Va un pollito con un cubito Maggi bajo el brazo y le pregunta otro pollito: -¿Qué es eso? -Son las cenizas de Mamá...,Dataset_existente,
4,"-¿Ya fuiste al Laberinto? -No, está bueno? -Si, no sabés lo que te perdés.",Dataset_existente,
5,"En la calle me siento un objeto sexual

Me gritan ""forrooo!!""",Dataset_existente,
6,"Iba caminando por la calle cuando de repente vi a una mujer en moto, le grité: ¡VAAACA!! me dijo: ¡TU MADRE! Y pues nada, chocó con la vaca.",Dataset_existente,
7,"¿Cree usted que algunas encuestas están manipuladas?

No ❑",Dataset_existente,
8,"- A mí antes me perseguían las mujeres. 
- ¿Y por qué ya no? 
- Es que ya no robo bolsos.
#Chistes #Humor #Anecdo...",Dataset_existente,
9,Odio que cuando netflix pasa de capítulo a capítulo pone una pantalla negra donde uno se ve el reflejo todo gordo y triste.,Dataset_existente,
10,"En un segundo pueden pasar muchas cosas.
Lo sé porque vivo en un tercero..",Dataset_existente,
11,"- ¡Soldado López!
- ¡Sí, mi capitán! 

- No lo vi ayer en la prueba de camuflaje. 

- ¡Gracias, mi capitán!
#Chis...",Dataset_existente,
12,-¡Que fortuna hizo Henry Ford con los autos! -¡JA! ¿Y su hermano Roque con los quesos?,Dataset_existente,
13,"—Jamás pensé que nuestro hijo llegaría tan lejos.
—JAJAJAJÁ esta catapulta está de puta madre, trae al gato JAJAJAJAJAJAJÁ.",Dataset_existente,
14,"Hoy vi cómo se volteaba un camión lleno de palmeras. El chofer salió y gritó “ayúdenme con las palmas”. Todos aplaudimos, fue hermoso.",Dataset_existente,
15,"No sé si elegir esgrima o albañilería.

Estoy entre la espada y la pared.",Dataset_existente,
16,"Trabajo en una fábrica de colchas
Estoy tapado de laburo",Dataset_existente,
17,Volcó un camion que llevaba mermeladas en la autopista. Hay Demoras.. #chistes,Dataset_existente,
18,"—Amigos los veo en el antro.
—Yo llego en 15 min.
—Yo ya voy saliendo.
—¡Pero ponte tu suéter!
—¿QUIÉN METIÓ A MI MAMÁ AL GRUPO DE WHATSAPP?",Dataset_existente,
19,"–Me encanta bañarme con música.

–Yo prefiero con agua.",Dataset_existente,
20,"-Como pudiste cogerte a mi hermana?
-Y bueno...estaba ahí...desnuda...que querías que hiciera?
-La autopsia, hijo de puta!",Dataset_existente,
21,Auto RT @amattajm: Cayó un avión en un cementerio gallego. Hasta el momento encontraron 5000 muertos,Dataset_existente,
22,Cuándo un niño es complejo?... Cuando tiene madre real y padre imaginario.,Dataset_existente,
23,"—¿Pepito, quien fue Juana de Arco? —Una drogadicta maestra. —¿De donde sacas eso? —El libro dice que murió por heroína.",Dataset_existente,
24,"Tips para que tu cita salga bien:

—Ponerla entre comillas.
—Pon el nombre del autor al final.

¿Qué esperaban? ¿Consejos de amor?",Dataset_existente,
